CHAMP;ANNEE_1968_2019;MOIS2;JOUR;DECES
FE;1970;12;24;
FE;1970;12;25;
FE;1970;12;26;
FE;1970;12;27;
FE;1970;12;28;
FE;1970;12;29;
FE;1970;12;30;
FE;1970;12;31;
FE;1970;12;MM;
FE;1971;01;01;
FE;1971;01;02;
FE;1971;01;03;
FE;1971;01;04;
FE;1971;01;05;
FE;1971;01;06;
FE;1971;01;07;
FE;1971;01;08;
FE;1971;01;09;
FE;1971;01;10;
FE;1971;01;11;
FE;1971;01;12;
FE;1971;01;13;
FE;1971;01;14;
FE;1971;01;15;
FE;1971;01;16;
FE;1971;01;17;
FE;1971;01;18;
FE;1971;01;19;
FE;1971;01;20;
FE;1971;01;21;
FE;1971;01;22;
FE;1971;01;23;
FE;1971;01;24;
FE;1971;01;25;
FE;1971;01;26;
FE;1971;01;27;
FE;1971;01;28;
FE;1971;01;29;
FE;1971;01;30;
FE;1971;01;31;
FE;1971;01;MM;
FE;1971;02;01;
FE;1971;02;02;
FE;1971;02;03;
FE;1971;02;04;
FE;1971;02;05;
FE;1971;02;06;
FE;1971;02;07;
FE;1971;02;08;
FE;1971;02;09;
FE;1971;02;10;
FE;1971;02;11;
FE;1971;02;12;
FE;1971;02;13;
FE;1971;02;14;
FE;1971;02;15;
FE;1971;02;16;
FE;1971;02;17;
FE;1971;02;18;
FE;1971;02;19;
FE;1971;02;20;
FE;1971;02;21;
FE;1971;02;22;
FE;1971;02;23;
FE;1971;02;24;
FE;1971;02;25;
FE;1971;02;26;
FE;1971;02;27;
FE;1971;02;28;
FE;1971;02;29;
FE;1971;02;30;
FE;1971;02;31;
FE;1971;02;MM;
FE;1971;03;01;
FE;1971;03;02;
FE;1971;03;03;
FE;1971;03;04;
FE;1971;03;05;
FE;1971;03;06;
FE;1971;03;07;
FE;1971;03;08;
FE;1971;03;09;
FE;1971;03;10;
FE;1971;03;11;
FE;1971;03;12;
FE;1971;03;13;
FE;1971;03;14;
FE;1971;03;15;
FE;1971;03;16;
FE;1971;03;17;
FE;1971;03;18;
FE;1971;03;19;
FE;1971;03;20;
FE;1971;03;21;
FE;1971;03;22;
FE;1971;03;23;
FE;1971;03;24;
FE;1971;03;25;
FE;1971;03;26;
FE;1971;03;27;
FE;1971;03;28;
FE;1971;03;29;
FE;1971;03;30;
FE;1971;03;31;
FE;1971;03;MM;
FE;1971;04;01;
FE;1971;04;02;
FE;1971;04;03;
FE;1971;04;04;
FE;1971;04;05;
FE;1971;04;06;
